Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,Player Nickname
1979,20,77,36.3,6.5,12.3,0.53,0.1,0.4,0.226,6.4,11.9,0.54,0.534,4.9,6.0,0.81,2.2,5.6,7.7,7.3,2.4,0.5,4.0,2.8,18.0,20.6,0.602,11.6,0.252,3.1,0.008,0.209,0.209,10.5,3.3,2.2,5.5,5.3,14.31,1,0,0,0.0,1,1,Magic
1981,22,78,38.3,7.1,13.3,0.537,0.1,0.4,0.207,7.1,12.9,0.546,0.54,4.2,5.6,0.76,3.2,6.4,9.6,9.5,2.7,0.4,3.7,2.9,18.6,22.9,0.59,13.7,0.31,3.2,0.006,0.18899999999999997,0.201,12.9,5.1,3.2,8.3,7.8,21.06,1,0,8,0.097,1,1,Magic
1982,23,79,36.8,6.5,11.8,0.5479999999999999,0.0,0.3,0.0,6.5,11.5,0.56,0.5479999999999999,3.8,4.8,0.8,2.7,5.9,8.6,10.5,2.2,0.6,3.8,2.5,16.8,23.0,0.603,13.0,0.344,2.8,0.009000000000000001,0.215,0.19,12.5,5.1,2.3,7.4,6.9,18.630000000000006,1,0,3,0.406,1,0,Magic
1983,24,67,38.3,6.6,11.6,0.565,0.1,0.4,0.207,6.5,11.2,0.579,0.569,4.3,5.3,0.81,1.5,5.9,7.3,13.1,2.2,0.7,4.6,2.5,17.6,22.6,0.628,10.8,0.425,2.7,0.01,0.24600000000000002,0.195,10.2,4.1,1.9,6.1,5.2,14.04,1,0,3,0.401,1,0,Magic
1984,25,77,36.1,6.5,11.7,0.561,0.1,0.5,0.189,6.5,11.2,0.5770000000000001,0.565,5.1,6.0,0.843,1.2,5.0,6.2,12.6,1.5,0.3,4.0,2.0,18.3,23.2,0.637,9.7,0.425,1.9,0.005,0.217,0.205,12.7,4.9,0.5,5.4,5.2,14.04,1,0,2,0.338,1,1,Magic
1985,26,72,35.8,6.7,12.8,0.526,0.1,0.6,0.233,6.6,12.2,0.541,0.532,5.3,6.0,0.871,1.2,4.7,5.9,12.6,1.6,0.2,3.8,1.8,18.8,24.0,0.61,9.4,0.451,2.0,0.003,0.198,0.21600000000000003,12.1,5.3,0.7,5.9,5.2,14.04,1,0,3,0.263,1,0,Magic
1986,27,80,36.3,8.5,16.4,0.522,0.1,0.5,0.205,8.4,15.9,0.532,0.525,6.7,7.9,0.848,1.5,4.8,6.3,12.2,1.7,0.5,3.8,2.1,23.9,27.0,0.602,9.7,0.47200000000000003,2.2,0.006999999999999999,0.159,0.263,15.9,7.2,0.9,8.1,7.4,19.980000000000004,1,1,1,0.94,1,1,Magic
1987,28,72,36.6,6.8,13.8,0.4920000000000001,0.2,0.8,0.196,6.7,13.1,0.51,0.4970000000000001,5.8,6.8,0.853,1.2,5.0,6.2,11.9,1.6,0.2,3.7,2.0,19.6,23.1,0.581,9.7,0.45399999999999996,2.1,0.003,0.182,0.23399999999999999,10.9,4.7,0.6,5.3,4.9,13.230000000000002,1,0,3,0.635,1,1,Magic
1988,29,77,37.5,7.5,14.8,0.509,0.8,2.4,0.314,6.8,12.3,0.5479999999999999,0.535,6.7,7.3,0.911,1.4,6.4,7.9,12.8,1.8,0.3,4.1,2.2,22.5,26.9,0.625,11.7,0.486,2.3,0.004,0.184,0.243,16.1,7.9,1.4,9.3,8.2,22.14,1,1,1,0.762,1,0,Magic
1989,30,79,37.2,6.9,14.4,0.48,1.3,3.5,0.384,5.6,10.9,0.51,0.526,7.2,8.1,0.89,1.6,5.0,6.6,11.5,1.7,0.4,3.7,2.1,22.3,26.6,0.622,10.2,0.455,2.2,0.006999999999999999,0.16899999999999998,0.248,16.5,8.6,1.0,9.5,8.5,22.95000000000001,1,1,1,0.691,1,0,Magic
1990,31,79,37.1,5.9,12.4,0.477,1.0,3.2,0.32,4.9,9.2,0.532,0.518,6.6,7.3,0.906,1.3,5.6,7.0,12.5,1.3,0.2,4.0,1.9,19.4,25.1,0.623,10.9,0.493,1.8,0.003,0.204,0.22899999999999998,15.4,7.1,1.2,8.3,7.6,20.52,1,0,2,0.518,1,0,Magic
1979,23,82,36.0,8.5,17.8,0.474,0.7,1.7,0.406,7.7,16.1,0.481,0.494,3.7,4.4,0.836,2.6,7.8,10.4,4.5,1.7,0.6,3.2,3.4,21.3,20.5,0.5379999999999999,16.0,0.185,2.3,0.01,0.14,0.253,11.2,2.7,2.6,5.3,5.4,14.580000000000002,1,0,4,0.068,1,0,Bird
1980,24,82,39.5,8.8,18.3,0.478,0.2,0.9,0.27,8.5,17.4,0.489,0.485,3.5,4.0,0.863,2.3,8.6,10.9,5.5,2.0,0.8,3.5,2.9,21.2,19.9,0.528,15.7,0.204,2.4,0.011000000000000001,0.149,0.243,10.8,2.1,3.0,5.1,5.8,15.66,1,0,2,0.613,1,1,Bird
1981,25,77,38.0,9.2,18.4,0.503,0.1,0.7,0.212,9.1,17.7,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9,22.6,0.557,15.8,0.225,2.3,0.012,0.138,0.252,12.5,4.1,3.3,7.5,7.0,18.9,1,0,2,0.588,1,0,Bird
1982,26,79,37.7,9.5,18.7,0.504,0.3,1.0,0.28600000000000003,9.2,17.8,0.516,0.512,4.4,5.3,0.84,2.4,8.6,11.0,5.8,1.9,0.9,3.0,2.5,23.6,24.1,0.561,15.7,0.22399999999999998,2.3,0.013000000000000001,0.126,0.25,14.0,4.7,2.9,7.6,7.2,19.44,1,0,2,0.485,1,0,Bird
1983,27,79,38.3,9.6,19.5,0.4920000000000001,0.2,0.9,0.247,9.4,18.6,0.504,0.4970000000000001,4.7,5.3,0.888,2.3,7.8,10.1,6.6,1.8,0.9,3.0,2.5,24.2,24.2,0.552,14.9,0.262,2.3,0.013000000000000001,0.121,0.267,13.6,4.7,3.0,7.8,7.4,19.980000000000004,1,1,1,0.858,1,1,Bird
1984,28,80,39.5,11.5,22.0,0.522,0.7,1.6,0.4270000000000001,10.8,20.4,0.529,0.5379999999999999,5.0,5.7,0.882,2.1,8.5,10.5,6.6,1.6,1.2,3.1,2.6,28.7,26.5,0.585,14.7,0.257,1.9,0.017,0.11199999999999999,0.285,15.7,6.1,2.4,8.5,8.4,22.680000000000003,1,1,1,0.978,1,0,Bird
1985,29,82,38.0,9.7,19.6,0.496,1.0,2.4,0.423,8.7,17.2,0.506,0.521,5.4,6.0,0.8959999999999999,2.3,7.5,9.8,6.8,2.0,0.6,3.2,2.2,25.8,25.6,0.58,14.2,0.263,2.5,0.009000000000000001,0.127,0.276,15.8,6.4,2.8,9.1,8.7,23.49,1,1,1,0.981,1,1,Bird
1986,30,74,40.6,10.6,20.2,0.525,1.2,3.0,0.4,9.4,17.2,0.547,0.555,5.6,6.1,0.91,1.7,7.5,9.2,7.6,1.8,0.9,3.2,2.5,28.1,26.4,0.612,12.8,0.28600000000000003,2.2,0.013000000000000001,0.124,0.275,15.2,7.1,2.1,9.2,8.5,22.95000000000001,1,0,3,0.34700000000000003,1,0,Bird
1987,31,76,39.0,11.6,22.0,0.527,1.3,3.1,0.414,10.3,18.9,0.546,0.556,5.5,6.0,0.916,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,27.8,0.608,14.0,0.257,2.1,0.011000000000000001,0.102,0.302,15.0,7.5,1.3,8.8,8.1,21.87,1,0,2,0.659,1,0,Bird
1989,33,75,39.3,9.6,20.2,0.473,0.9,2.6,0.333,8.7,17.6,0.494,0.495,4.3,4.6,0.93,1.2,8.3,9.5,7.5,1.4,0.8,3.2,2.3,24.3,21.9,0.546,13.4,0.289,1.8,0.012,0.127,0.27399999999999997,9.5,3.9,2.2,6.1,6.1,16.47,1,0,10,0.005,1,0,Bird
1990,34,60,38.0,7.7,17.0,0.454,1.3,3.3,0.389,6.4,13.7,0.47,0.4920000000000001,2.7,3.1,0.8909999999999999,0.9,7.6,8.5,7.2,1.8,1.0,3.1,2.0,19.4,19.7,0.53,12.3,0.259,2.3,0.015,0.146,0.237,6.6,2.4,2.3,4.7,3.8,10.26,1,0,9,0.026,1,0,Bird
1991,35,45,36.9,7.8,16.8,0.466,1.2,2.8,0.406,6.7,14.0,0.478,0.5,3.3,3.6,0.926,1.0,8.6,9.6,6.8,0.9,0.7,2.8,1.8,20.2,21.0,0.547,14.4,0.26899999999999996,1.3,0.012,0.131,0.247,5.5,3.3,2.2,5.5,3.1,8.370000000000001,1,0,14,0.003,1,0,Bird
1982,21,81,38.2,9.0,19.0,0.472,0.4,1.5,0.28800000000000003,8.5,17.4,0.488,0.483,4.5,6.4,0.71,1.3,2.8,4.0,7.8,2.5,0.4,4.0,3.9,22.9,18.9,0.525,5.5,0.303,2.9,0.005,0.156,0.261,7.4,3.1,-0.7,2.4,3.4,9.18,1,0,16,0.005,0,0,Zeke
1983,22,82,36.7,8.2,17.7,0.462,0.3,0.8,0.338,7.9,16.9,0.468,0.47,4.7,6.5,0.733,1.3,2.7,4.0,11.1,2.5,0.4,3.7,4.0,21.3,20.9,0.52,5.8,0.415,3.1,0.006,0.154,0.254,9.1,4.2,0.0,4.3,4.7,12.69,1,0,5,0.151,1,0,Zeke
1984,23,81,38.1,8.0,17.4,0.458,0.4,1.4,0.257,7.6,16.0,0.476,0.468,4.9,6.1,0.809,1.4,3.0,4.5,13.9,2.3,0.3,3.7,3.6,21.2,22.2,0.529,6.1,0.479,2.8,0.004,0.157,0.24,11.2,5.2,0.0,5.2,5.6,15.12,1,0,9,0.081,1,0,Zeke
1985,24,77,36.2,7.9,16.2,0.488,0.3,1.1,0.31,7.6,15.1,0.501,0.498,4.7,6.0,0.79,1.1,2.5,3.6,10.8,2.2,0.3,3.8,3.2,20.9,21.2,0.5539999999999999,5.3,0.40700000000000003,2.8,0.004,0.166,0.244,8.8,4.5,-0.5,4.0,4.3,11.61,1,0,9,0.036000000000000004,1,0,Zeke
1986,25,81,37.2,7.7,16.7,0.463,0.2,1.2,0.194,7.5,15.5,0.484,0.47,4.9,6.4,0.768,1.0,2.9,3.9,10.0,1.9,0.2,4.2,3.1,20.6,18.8,0.528,5.7,0.39299999999999996,2.4,0.004,0.17800000000000002,0.259,7.6,2.8,0.2,3.0,3.8,10.26,1,0,8,0.022,1,0,Zeke
1987,26,81,36.1,7.7,16.6,0.463,0.4,1.2,0.309,7.3,15.4,0.475,0.474,3.8,4.9,0.774,0.8,2.6,3.4,8.4,1.7,0.2,3.4,2.7,19.5,18.2,0.521,5.3,0.35,2.4,0.003,0.153,0.254,7.6,2.4,0.1,2.5,3.3,8.91,1,0,12,0.004,1,0,Zeke
1988,27,80,36.6,7.1,15.3,0.464,0.4,1.5,0.273,6.7,13.8,0.485,0.477,3.6,4.4,0.818,0.6,2.8,3.4,8.3,1.7,0.3,3.7,2.6,18.2,17.1,0.528,5.3,0.34299999999999997,2.3,0.004,0.177,0.24600000000000002,7.0,1.7,0.5,2.2,3.1,8.370000000000001,1,0,17,0.001,1,1,Zeke
1989,28,81,37.0,7.1,16.3,0.438,0.5,1.7,0.309,6.6,14.6,0.453,0.454,3.6,4.7,0.775,0.9,2.9,3.8,9.4,1.7,0.2,4.0,2.5,18.4,17.3,0.501,5.9,0.39399999999999996,2.4,0.004,0.17800000000000002,0.26,6.7,1.6,0.9,2.5,3.4,9.18,1,0,13,0.001,1,1,Zeke
1990,29,48,34.5,6.0,13.9,0.435,0.4,1.4,0.292,5.6,12.5,0.45,0.449,3.7,4.8,0.782,0.7,2.6,3.3,9.3,1.6,0.2,3.9,2.5,16.2,17.4,0.507,5.5,0.426,2.4,0.004,0.195,0.252,3.4,1.6,0.2,1.8,1.6,4.32,1,0,13,0.011,1,0,Zeke
1991,30,78,37.4,7.2,16.2,0.446,0.3,1.1,0.29100000000000004,6.9,15.1,0.458,0.456,3.7,4.8,0.772,0.9,2.3,3.2,7.2,1.5,0.2,3.2,2.5,18.5,16.0,0.505,4.8,0.313,2.1,0.003,0.15,0.253,5.8,1.0,-0.2,0.8,2.1,5.670000000000001,1,0,0,0.0,1,0,Zeke
1992,31,79,37.0,6.7,15.9,0.418,0.8,2.5,0.308,5.9,13.4,0.439,0.442,3.5,4.8,0.737,0.9,2.0,2.9,8.5,1.6,0.2,3.6,2.8,17.6,15.4,0.488,4.4,0.35600000000000004,2.2,0.004,0.166,0.251,3.7,1.0,-0.8,0.2,1.6,4.32,1,0,0,0.0,0,0,Zeke
1993,32,58,30.2,5.5,13.2,0.417,0.7,2.2,0.31,4.8,11.0,0.438,0.442,3.1,4.4,0.7020000000000001,0.8,1.9,2.7,6.9,1.2,0.1,3.5,2.2,14.8,15.2,0.488,5.0,0.36700000000000005,2.0,0.002,0.187,0.27,0.2,0.3,-2.4,-2.0,0.0,0.0,0,0,0,0.0,0,0,Zeke
1984,21,82,38.3,10.2,19.8,0.515,0.1,0.6,0.173,10.1,19.2,0.526,0.518,7.7,9.1,0.845,2.0,4.5,6.5,5.9,2.4,0.8,3.5,3.5,28.2,25.8,0.5920000000000001,9.8,0.253,3.0,0.013000000000000001,0.13,0.298,14.0,6.8,1.4,8.2,8.1,21.87,1,0,6,0.172,1,1,Air Jordan
1986,23,82,40.0,13.4,27.8,0.482,0.1,0.8,0.182,13.2,27.0,0.491,0.484,10.2,11.9,0.857,2.0,3.2,5.2,4.6,2.9,1.5,3.3,2.9,37.1,29.8,0.562,7.4,0.222,3.6,0.023,0.091,0.38299999999999995,16.9,8.0,0.6,8.6,8.8,23.760000000000005,1,0,2,0.5670000000000001,1,1,Air Jordan
1987,24,82,40.4,13.0,24.4,0.535,0.1,0.6,0.132,13.0,23.7,0.546,0.537,8.8,10.5,0.841,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0,31.7,0.603,7.8,0.27,3.9,0.024,0.096,0.341,21.2,9.8,2.3,12.2,11.8,31.86000000000001,1,0,1,0.831,1,1,Air Jordan
1988,25,81,40.2,11.9,22.2,0.5379999999999999,0.3,1.2,0.276,11.6,21.0,0.5529999999999999,0.546,8.3,9.8,0.85,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,32.5,31.1,0.614,11.6,0.34700000000000003,3.6,0.012,0.11900000000000001,0.321,19.8,9.8,2.7,12.6,12.0,32.40000000000001,1,0,2,0.7040000000000001,1,1,Air Jordan
1989,26,82,39.0,12.6,24.0,0.526,1.1,3.0,0.376,11.5,21.0,0.5479999999999999,0.55,7.2,8.5,0.848,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9,33.6,31.2,0.606,10.4,0.28600000000000003,3.5,0.011000000000000001,0.098,0.337,19.0,9.7,0.8,10.6,10.1,27.27,1,0,3,0.613,1,1,Air Jordan
1990,27,82,37.0,12.1,22.4,0.539,0.4,1.1,0.312,11.7,21.3,0.551,0.547,7.0,8.2,0.851,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,31.5,31.6,0.605,9.5,0.252,3.7,0.017,0.087,0.32899999999999996,20.3,8.9,1.8,10.8,9.8,26.460000000000004,1,1,1,0.928,1,1,Air Jordan
1991,28,80,38.8,11.8,22.7,0.519,0.3,1.3,0.27,11.5,21.5,0.5329999999999999,0.526,6.1,7.4,0.8320000000000001,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1,27.7,0.579,9.5,0.257,3.0,0.015,0.08800000000000001,0.317,17.7,6.9,1.7,8.6,8.3,22.410000000000004,1,1,1,0.938,1,1,Air Jordan
1992,29,78,39.3,12.7,25.7,0.495,1.0,2.9,0.35200000000000004,11.7,22.7,0.514,0.515,6.1,7.3,0.8370000000000001,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4,32.6,29.7,0.564,9.8,0.252,3.7,0.013000000000000001,0.084,0.34700000000000003,17.2,8.3,1.2,9.5,8.9,24.03,1,0,3,0.5770000000000001,1,1,Air Jordan
1995,32,82,37.7,11.2,22.6,0.495,1.4,3.2,0.4270000000000001,9.8,19.4,0.506,0.525,6.7,8.0,0.8340000000000001,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,29.4,0.5820000000000001,10.2,0.212,3.1,0.01,0.084,0.33299999999999996,20.4,7.2,1.4,8.6,8.3,22.410000000000004,1,1,1,0.986,1,1,Air Jordan
1996,33,82,37.9,11.2,23.1,0.486,1.4,3.6,0.374,9.9,19.5,0.507,0.516,5.9,7.0,0.833,1.4,4.5,5.9,4.3,1.7,0.5,2.0,1.9,29.6,27.8,0.5670000000000001,8.8,0.212,2.4,0.011000000000000001,0.07200000000000001,0.332,18.3,6.5,0.2,6.7,6.8,18.36,1,0,2,0.8320000000000001,1,1,Air Jordan
1997,34,82,38.8,10.7,23.1,0.465,0.4,1.5,0.238,10.4,21.5,0.482,0.473,6.9,8.8,0.784,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8,28.7,25.2,0.5329999999999999,8.5,0.18,2.4,0.01,0.077,0.337,15.8,4.6,0.0,4.6,5.3,14.31,1,1,1,0.934,1,1,Air Jordan
2001,38,60,34.9,9.2,22.1,0.416,0.2,0.9,0.189,9.0,21.2,0.426,0.42,4.4,5.6,0.79,0.8,4.8,5.7,5.2,1.4,0.4,2.7,2.0,22.9,20.7,0.468,9.4,0.308,2.2,0.009000000000000001,0.099,0.36,3.3,2.3,0.1,2.4,2.4,6.48,1,0,13,0.013,0,0,Air Jordan
2002,39,82,37.0,8.3,18.6,0.445,0.2,0.7,0.29100000000000004,8.1,18.0,0.45,0.45,3.2,4.0,0.821,0.9,5.2,6.1,3.8,1.5,0.5,2.1,2.1,20.0,19.3,0.491,9.7,0.21100000000000002,2.2,0.01,0.094,0.287,6.2,0.9,0.1,1.0,2.3,6.21,1,0,0,0.0,0,0,Air Jordan
1984,22,82,35.5,8.3,15.3,0.5379999999999999,0.0,0.0,0.0,8.3,15.3,0.5379999999999999,0.5379999999999999,4.1,6.7,0.613,5.4,6.5,11.9,1.4,1.2,2.7,2.9,4.2,20.6,21.1,0.564,18.7,0.053,1.6,0.043,0.135,0.235,10.2,2.0,1.4,3.4,4.0,10.8,1,0,12,0.015,1,0,Dream
1985,23,68,36.3,9.2,17.5,0.526,0.0,0.0,0.0,9.2,17.5,0.526,0.526,5.1,7.9,0.645,4.9,6.6,11.5,2.0,2.0,3.4,2.9,4.0,23.5,24.2,0.56,17.1,0.08,2.5,0.052000000000000005,0.12,0.256,9.5,2.8,2.5,5.3,4.6,12.42,1,0,4,0.247,1,0,Dream
1986,24,75,36.8,9.0,17.8,0.508,0.0,0.1,0.2,9.0,17.7,0.509,0.509,5.3,7.6,0.7020000000000001,4.2,7.2,11.4,2.9,1.9,3.4,3.0,3.9,23.4,23.8,0.5539999999999999,17.1,0.126,2.4,0.053,0.126,0.268,10.9,2.5,4.0,6.6,6.0,16.200000000000006,1,0,7,0.036000000000000004,1,0,Dream
1987,25,79,35.8,9.0,17.5,0.514,0.0,0.1,0.0,9.0,17.5,0.516,0.514,4.8,6.9,0.695,3.8,8.3,12.1,2.1,2.1,2.7,3.1,4.1,22.8,23.4,0.555,17.7,0.092,2.7,0.042,0.13,0.265,10.7,1.7,3.3,5.0,5.0,13.5,1,0,7,0.05,1,0,Dream
1988,26,82,36.9,9.6,19.0,0.508,0.0,0.1,0.0,9.6,18.9,0.511,0.508,5.5,8.0,0.696,4.1,9.4,13.5,1.8,2.6,3.4,3.4,4.0,24.8,25.2,0.552,19.8,0.08199999999999999,3.3,0.055,0.13,0.282,12.4,1.3,4.1,5.4,5.6,15.12,1,0,5,0.211,1,0,Dream
1989,27,82,38.1,9.8,19.6,0.501,0.0,0.1,0.16699999999999998,9.8,19.5,0.502,0.501,4.7,6.5,0.713,3.6,10.4,14.0,2.9,2.1,4.6,3.9,3.8,24.3,24.1,0.541,19.5,0.121,2.6,0.07,0.146,0.281,11.2,0.1,5.8,5.9,6.3,17.01,1,0,7,0.07,1,0,Dream
1990,28,56,36.8,8.7,17.1,0.508,0.0,0.1,0.0,8.7,17.1,0.51,0.508,3.8,4.9,0.769,3.9,9.8,13.8,2.3,2.2,3.9,3.1,3.9,21.2,24.3,0.5489999999999999,19.9,0.102,2.9,0.064,0.139,0.25,8.6,0.4,5.9,6.3,4.3,11.61,0,0,18,0.004,1,0,Dream
1991,29,70,37.7,8.4,16.8,0.502,0.0,0.0,0.0,8.4,16.8,0.503,0.502,4.7,6.1,0.7659999999999999,3.5,8.6,12.1,2.2,1.8,4.3,2.7,3.8,21.6,23.7,0.5529999999999999,17.8,0.099,2.4,0.068,0.12,0.256,9.8,0.7,4.3,5.0,4.7,12.69,1,0,0,0.0,0,0,Dream
1992,30,82,39.5,10.3,19.5,0.529,0.0,0.1,0.0,10.3,19.5,0.532,0.529,5.4,7.0,0.779,3.5,9.6,13.0,3.5,1.8,4.2,3.2,3.7,26.1,27.3,0.5770000000000001,18.7,0.158,2.4,0.065,0.124,0.28800000000000003,15.8,3.0,5.4,8.4,8.5,22.95000000000001,1,0,2,0.66,1,0,Dream
1993,31,80,41.0,11.2,21.2,0.528,0.1,0.2,0.421,11.1,20.9,0.529,0.53,4.9,6.8,0.716,2.9,9.1,11.9,3.6,1.6,3.7,3.4,3.6,27.3,25.3,0.565,16.2,0.16399999999999998,2.0,0.057,0.12300000000000001,0.298,14.3,2.2,4.7,7.0,7.4,19.980000000000004,1,1,1,0.88,1,1,Dream
1994,32,72,39.6,11.1,21.5,0.517,0.0,0.2,0.188,11.0,21.2,0.52,0.517,5.6,7.5,0.7559999999999999,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,27.8,26.0,0.563,15.6,0.172,2.4,0.059000000000000004,0.11699999999999999,0.317,10.7,1.3,4.0,5.3,5.3,14.31,1,0,5,0.14,1,1,Dream
1995,33,72,38.8,10.7,20.8,0.514,0.0,0.2,0.214,10.6,20.6,0.517,0.515,5.5,7.6,0.7240000000000001,2.4,8.4,10.9,3.6,1.6,2.9,3.4,3.4,26.9,25.5,0.5579999999999999,15.9,0.183,2.1,0.053,0.125,0.319,9.7,1.2,3.4,4.6,4.7,12.69,1,0,4,0.211,1,0,Dream
1996,34,78,36.6,9.3,18.3,0.51,0.1,0.2,0.313,9.3,18.1,0.512,0.512,4.5,5.7,0.787,2.2,7.0,9.2,3.0,1.5,2.2,3.6,3.2,23.2,22.7,0.5579999999999999,14.5,0.162,2.1,0.045,0.14800000000000002,0.304,9.1,-0.2,3.4,3.2,3.7,9.990000000000002,1,0,7,0.083,1,0,Dream
1997,35,47,34.7,6.5,13.5,0.483,0.0,0.1,0.0,6.5,13.4,0.486,0.483,3.4,4.5,0.755,2.5,7.3,9.8,3.0,1.8,2.0,2.7,3.2,16.4,20.8,0.531,16.7,0.158,2.7,0.040999999999999995,0.14800000000000002,0.237,4.5,0.1,3.6,3.6,2.3,6.21,0,0,0,0.0,1,0,Dream
1998,36,50,35.7,7.5,14.5,0.514,0.1,0.3,0.308,7.4,14.2,0.518,0.517,3.9,5.4,0.7170000000000001,2.1,7.4,9.6,1.8,1.6,2.5,2.8,3.2,18.9,23.1,0.5589999999999999,15.7,0.095,2.5,0.048,0.141,0.259,6.5,0.0,2.8,2.9,2.2,5.940000000000001,0,0,13,0.003,1,0,Dream
1999,37,44,23.8,4.4,9.6,0.458,0.0,0.0,0.0,4.4,9.5,0.461,0.458,1.6,2.5,0.616,1.5,4.8,6.2,1.4,0.9,1.6,1.7,2.0,10.3,16.7,0.484,14.6,0.102,2.0,0.044000000000000004,0.134,0.22699999999999998,1.6,-3.0,2.0,-1.0,0.3,0.81,0,0,0,0.0,0,0,Dream
