Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,Player Nickname
2015,39,61,25.2,3.5,7.2,0.488,0.0,0.0,0.0,3.5,7.2,0.49,0.488,1.5,2.1,0.7020000000000001,1.9,5.4,7.3,2.7,0.8,1.3,1.5,2.0,8.6,16.9,0.523,16.6,0.153,1.6,0.039,0.153,0.17600000000000002,5.2,-0.8,5.0,4.1,2.4,6.48,0,0,0,0.0,1,0,The Big Fundamental
1999,21,82,35.8,6.3,13.6,0.461,1.4,3.7,0.379,4.9,9.9,0.491,0.513,3.5,4.2,0.83,1.2,5.2,6.5,2.5,0.8,0.8,1.7,3.1,17.5,17.5,0.564,9.7,0.109,1.1,0.016,0.1,0.212,8.1,2.3,-0.6,1.7,2.7,7.290000000000001,0,0,0,0.0,0,0,Dirk
2000,22,82,38.1,7.2,15.2,0.474,1.8,4.8,0.387,5.4,10.5,0.513,0.534,5.5,6.6,0.838,1.5,7.7,9.2,2.1,1.0,1.2,1.9,3.0,21.8,22.8,0.601,13.5,0.094,1.3,0.023,0.095,0.23800000000000002,14.6,4.3,0.5,4.7,5.3,14.31,0,0,0,0.0,1,0,Dirk
2001,23,76,38.0,7.9,16.6,0.47700000000000004,1.8,4.6,0.397,6.1,11.9,0.508,0.532,5.8,6.8,0.853,1.6,8.4,9.9,2.4,1.1,1.0,1.9,2.9,23.4,24.1,0.599,14.5,0.10800000000000001,1.5,0.019,0.08900000000000001,0.255,13.4,4.6,0.1,4.7,4.8,12.96,1,0,8,0.025,1,0,Dirk
2002,24,80,39.0,8.6,18.6,0.46299999999999997,1.9,4.9,0.379,6.8,13.7,0.493,0.513,6.0,6.9,0.8809999999999999,1.0,8.9,9.9,3.0,1.4,1.0,1.9,2.6,25.1,25.6,0.581,14.0,0.133,1.8,0.02,0.081,0.27399999999999997,16.1,4.6,1.0,5.7,6.1,16.47,1,0,7,0.036000000000000004,1,0,Dirk
2003,25,77,37.9,7.9,17.0,0.462,1.3,3.8,0.341,6.6,13.2,0.496,0.5,4.8,5.5,0.877,1.2,7.5,8.7,2.7,1.2,1.4,1.8,2.8,21.8,22.5,0.561,12.5,0.113,1.6,0.026000000000000002,0.083,0.245,11.5,3.5,0.0,3.4,4.0,10.8,1,0,10,0.003,1,0,Dirk
2004,26,78,38.7,8.5,18.5,0.45899999999999996,1.2,2.9,0.39899999999999997,7.3,15.6,0.47,0.49,7.9,9.1,0.8690000000000001,1.2,8.5,9.7,3.1,1.2,1.5,2.3,2.8,26.1,26.1,0.578,14.0,0.14300000000000002,1.7,0.028999999999999998,0.091,0.287,15.6,4.0,1.7,5.7,5.9,15.93,1,0,3,0.275,1,0,Dirk
2005,27,81,38.1,9.3,19.3,0.48,1.4,3.3,0.406,7.9,16.0,0.496,0.515,6.7,7.4,0.9009999999999999,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0,26.6,28.1,0.589,14.2,0.147,1.0,0.021,0.079,0.3,17.7,5.8,-0.1,5.7,6.0,16.200000000000006,1,0,3,0.435,1,0,Dirk
2006,28,78,36.2,8.6,17.2,0.502,0.9,2.2,0.41600000000000004,7.7,15.0,0.515,0.529,6.4,7.1,0.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,27.6,0.605,14.8,0.17800000000000002,1.0,0.017,0.095,0.289,16.3,5.4,1.3,6.7,6.2,16.740000000000002,1,1,1,0.882,1,0,Dirk
2007,29,77,36.0,8.2,17.1,0.479,1.0,2.9,0.359,7.2,14.2,0.504,0.51,6.2,7.1,0.879,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,23.6,24.6,0.585,13.8,0.17800000000000002,1.0,0.019,0.09300000000000001,0.28800000000000003,12.9,4.2,0.9,5.2,5.0,13.5,1,0,11,0.004,1,0,Dirk
2008,30,81,37.7,9.6,20.0,0.479,0.8,2.1,0.359,8.8,17.9,0.493,0.498,6.0,6.7,0.89,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2,25.9,23.1,0.564,12.8,0.121,1.0,0.015,0.078,0.303,10.9,1.9,-0.7,1.2,2.4,6.48,1,0,10,0.002,1,0,Dirk
2009,31,81,37.5,8.9,18.5,0.48100000000000004,0.6,1.5,0.42100000000000004,8.3,17.0,0.48700000000000004,0.498,6.6,7.2,0.915,1.0,6.7,7.7,2.7,0.9,1.0,1.8,2.6,25.0,22.9,0.578,11.7,0.13,1.2,0.02,0.078,0.28800000000000003,12.3,2.3,0.3,2.6,3.5,9.45,1,0,7,0.045,1,0,Dirk
2010,32,73,34.3,8.4,16.2,0.517,0.9,2.3,0.39299999999999996,7.5,13.8,0.5379999999999999,0.545,5.4,6.1,0.892,0.7,6.3,7.0,2.6,0.5,0.6,1.9,2.4,23.0,23.4,0.612,12.0,0.142,0.8,0.013999999999999999,0.091,0.282,11.1,3.2,0.6,3.8,3.7,9.990000000000002,1,0,6,0.09300000000000001,1,1,Dirk
2011,33,62,33.5,7.6,16.7,0.457,1.3,3.4,0.368,6.4,13.3,0.48100000000000004,0.495,5.1,5.7,0.8959999999999999,0.7,6.0,6.7,2.2,0.7,0.5,1.9,2.1,21.6,21.7,0.564,11.3,0.126,1.1,0.012,0.09,0.292,7.6,2.3,-0.5,1.8,2.0,5.4,1,0,12,0.003,1,0,Dirk
2012,34,53,31.3,6.5,13.7,0.47100000000000003,1.2,3.0,0.414,5.2,10.8,0.48700000000000004,0.516,3.1,3.6,0.86,0.7,6.2,6.8,2.5,0.7,0.7,1.3,1.8,17.3,19.8,0.564,12.2,0.135,1.2,0.017,0.079,0.242,5.0,1.7,0.0,1.7,1.5,4.050000000000002,0,0,0,0.0,0,0,Dirk
2013,35,80,32.9,7.9,15.9,0.49700000000000005,1.6,4.1,0.39799999999999996,6.3,11.8,0.532,0.5489999999999999,4.2,4.7,0.899,0.5,5.7,6.2,2.7,0.9,0.6,1.5,2.1,21.7,23.6,0.603,10.9,0.142,1.4,0.013999999999999999,0.075,0.26899999999999996,10.9,4.1,-0.8,3.3,3.5,9.45,1,0,14,0.006,1,0,Dirk
2014,36,77,29.6,6.3,13.8,0.45899999999999996,1.4,3.6,0.38,5.0,10.2,0.486,0.508,3.3,3.8,0.882,0.6,5.4,5.9,1.9,0.5,0.4,1.1,2.1,17.3,19.2,0.56,11.0,0.10400000000000001,0.9,0.012,0.065,0.249,7.2,1.7,-1.0,0.7,1.5,4.050000000000002,1,0,0,0.0,1,0,Dirk
2015,37,75,31.5,6.6,14.8,0.44799999999999995,1.7,4.6,0.368,5.0,10.3,0.483,0.504,3.3,3.7,0.893,0.7,5.8,6.5,1.8,0.7,0.7,1.1,2.1,18.3,19.0,0.555,11.4,0.10099999999999999,1.1,0.018000000000000002,0.064,0.255,6.8,1.2,-0.3,0.9,1.7,4.59,0,0,0,0.0,1,0,Dirk
2016,38,54,26.4,5.5,12.6,0.43700000000000006,1.5,3.9,0.37799999999999995,4.0,8.7,0.46299999999999997,0.495,1.8,2.1,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2,17.0,0.529,14.4,0.106,1.1,0.024,0.066,0.258,2.5,-1.6,0.3,-1.3,0.2,0.54,0,0,0,0.0,0,0,Dirk
2017,39,77,24.7,4.5,9.8,0.456,1.8,4.4,0.409,2.7,5.5,0.494,0.547,1.3,1.4,0.898,0.3,5.4,5.7,1.6,0.6,0.6,0.7,1.9,12.0,16.7,0.575,12.8,0.10400000000000001,1.1,0.021,0.06,0.205,4.8,0.1,0.3,0.3,1.1,2.9700000000000006,0,0,0,0.0,0,0,Dirk
2003,19,79,39.5,7.9,18.9,0.417,0.8,2.7,0.29,7.1,16.1,0.438,0.438,4.4,5.8,0.754,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9,18.3,0.488,7.6,0.278,2.2,0.013000000000000001,0.139,0.282,5.1,2.2,-0.2,1.9,3.1,8.370000000000001,0,0,9,0.009000000000000001,0,0,The King
2004,20,80,42.4,9.9,21.1,0.472,1.4,3.9,0.35100000000000003,8.6,17.2,0.499,0.504,6.0,8.0,0.75,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,25.7,0.5539999999999999,10.2,0.32899999999999996,2.8,0.011000000000000001,0.11800000000000001,0.297,14.3,6.9,1.5,8.3,8.8,23.760000000000005,1,0,6,0.073,0,0,The King
2005,21,79,42.5,11.1,23.1,0.48,1.6,4.8,0.335,9.5,18.3,0.518,0.515,7.6,10.3,0.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,28.1,0.568,9.8,0.32799999999999996,2.0,0.015,0.107,0.336,16.3,7.9,1.4,9.3,9.5,25.65,1,0,2,0.55,1,0,The King
2006,22,78,40.9,9.9,20.8,0.476,1.3,4.0,0.319,8.6,16.8,0.513,0.507,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,24.5,0.552,9.6,0.29100000000000004,2.1,0.013000000000000001,0.115,0.31,13.7,5.4,2.0,7.4,7.6,20.52,1,0,5,0.142,1,0,The King
2007,23,75,40.4,10.6,21.9,0.484,1.5,4.8,0.315,9.1,17.1,0.531,0.518,7.3,10.3,0.7120000000000001,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,29.1,0.568,11.1,0.373,2.4,0.021,0.114,0.335,15.2,9.0,2.3,11.2,10.1,27.27,1,0,4,0.348,1,0,The King
2008,24,81,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,31.7,0.591,11.9,0.38,2.4,0.024,0.11,0.33799999999999997,20.3,9.4,3.6,13.0,11.6,31.32,1,1,1,0.969,1,0,The King
2009,25,76,39.0,10.1,20.1,0.503,1.7,5.1,0.333,8.4,15.0,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,31.1,0.604,11.1,0.418,2.2,0.02,0.12300000000000001,0.335,18.5,9.7,2.8,12.5,10.9,29.430000000000003,1,1,1,0.98,1,0,The King
2010,26,79,38.8,9.6,18.8,0.51,1.2,3.5,0.33,8.4,15.3,0.552,0.541,6.4,8.4,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,27.3,0.594,11.4,0.349,2.1,0.013000000000000001,0.138,0.315,15.6,6.5,2.1,8.6,8.2,22.14,1,0,3,0.431,1,0,The King
2011,27,62,37.5,10.0,18.9,0.531,0.9,2.4,0.362,9.1,16.5,0.556,0.5539999999999999,6.2,8.1,0.7709999999999999,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,30.7,0.605,12.6,0.336,2.6,0.017,0.133,0.32,14.5,8.3,2.7,11.0,7.6,20.52,1,1,1,0.888,1,1,The King
2012,28,76,37.9,10.1,17.8,0.565,1.4,3.3,0.406,8.7,14.5,0.602,0.603,5.3,7.0,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,31.6,0.64,13.1,0.364,2.4,0.019,0.124,0.302,19.3,9.2,2.4,11.6,9.8,26.460000000000004,1,1,1,0.998,1,1,The King
2013,29,77,37.7,10.0,17.6,0.5670000000000001,1.5,4.0,0.379,8.5,13.6,0.622,0.61,5.7,7.6,0.75,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,29.3,0.649,11.5,0.32,2.2,0.008,0.14400000000000002,0.31,15.9,8.0,0.9,8.9,8.0,21.6,1,0,2,0.713,1,0,The King
2014,30,69,36.1,9.0,18.5,0.488,1.7,4.9,0.354,7.3,13.6,0.536,0.535,5.4,7.7,0.71,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3,25.9,0.5770000000000001,9.6,0.386,2.3,0.016,0.153,0.32299999999999995,10.4,6.2,1.2,7.4,5.9,15.93,1,0,3,0.425,1,0,The King
2015,31,76,35.6,9.7,18.6,0.52,1.1,3.7,0.309,8.6,14.9,0.573,0.551,4.7,6.5,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,27.5,0.588,11.8,0.36,2.0,0.015,0.132,0.314,13.6,6.9,2.3,9.1,7.6,20.52,1,0,3,0.482,1,1,The King
2016,32,74,37.8,9.9,18.2,0.5479999999999999,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,27.0,0.619,12.6,0.413,1.6,0.013000000000000001,0.161,0.3,12.9,6.8,1.6,8.4,7.3,19.71,1,0,4,0.33,1,0,The King
2017,33,82,36.9,10.5,19.3,0.542,1.8,5.0,0.3670000000000001,8.6,14.3,0.603,0.59,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,28.6,0.621,13.1,0.444,1.9,0.02,0.161,0.316,14.0,7.6,2.0,9.6,8.9,24.03,1,0,2,0.731,1,0,The King
2003,22,61,34.9,6.1,13.1,0.465,0.3,0.9,0.302,5.8,12.2,0.47700000000000004,0.475,3.8,5.1,0.747,1.4,2.7,4.0,4.5,1.4,0.6,3.2,2.3,16.2,17.6,0.53,6.8,0.251,2.2,0.013000000000000001,0.17300000000000001,0.25,4.6,0.9,0.4,1.3,1.8,4.86,0,0,0,0.0,1,0,Flash
2004,23,77,38.6,8.2,17.1,0.478,0.2,0.6,0.289,8.0,16.5,0.485,0.483,7.5,9.9,0.762,1.4,3.7,5.2,6.8,1.6,1.1,4.2,3.0,24.1,23.1,0.561,7.8,0.31,2.2,0.02,0.163,0.309,11.0,3.1,1.4,4.4,4.8,12.96,1,0,8,0.034,1,0,Flash
2005,24,75,38.6,9.3,18.8,0.495,0.2,1.0,0.171,9.1,17.8,0.513,0.499,8.4,10.7,0.7829999999999999,1.4,4.3,5.7,6.7,1.9,0.8,3.6,2.9,27.2,27.6,0.5770000000000001,8.7,0.33,2.6,0.015,0.132,0.325,14.4,5.9,1.6,7.5,7.0,18.9,1,0,6,0.07,1,1,Flash
2006,25,51,37.9,9.3,18.9,0.491,0.4,1.5,0.266,8.8,17.3,0.511,0.502,8.5,10.5,0.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,2.3,27.4,28.9,0.583,7.3,0.405,3.0,0.025,0.153,0.34700000000000003,8.8,6.5,1.9,8.4,5.1,13.77,1,0,12,0.002,1,0,Flash
2007,26,51,38.3,8.6,18.4,0.469,0.4,1.5,0.28600000000000003,8.2,16.9,0.485,0.48,6.9,9.2,0.758,0.9,3.3,4.2,6.9,1.7,0.7,4.4,2.7,24.6,21.5,0.5489999999999999,6.6,0.375,2.4,0.015,0.16399999999999998,0.331,3.3,3.0,0.0,3.0,2.5,6.75,1,0,0,0.0,0,0,Flash
2008,27,79,38.6,10.8,22.0,0.491,1.1,3.5,0.317,9.7,18.5,0.524,0.516,7.5,9.8,0.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,30.4,0.574,7.8,0.40299999999999997,3.0,0.027999999999999997,0.11599999999999999,0.36200000000000004,14.7,8.7,2.0,10.7,9.7,26.19,1,0,3,0.562,1,0,Flash
2009,28,77,36.3,9.3,19.6,0.47600000000000003,0.9,3.2,0.3,8.4,16.5,0.509,0.5,6.9,9.1,0.7609999999999999,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,28.0,0.562,7.8,0.364,2.7,0.024,0.122,0.349,13.0,7.4,2.0,9.4,8.0,21.6,1,0,5,0.09699999999999999,1,0,Flash
2010,29,76,37.1,9.1,18.2,0.5,0.8,2.7,0.306,8.3,15.5,0.534,0.523,6.5,8.6,0.758,1.6,4.8,6.4,4.6,1.5,1.1,3.1,2.6,25.5,25.6,0.581,10.2,0.235,2.1,0.024,0.124,0.316,12.8,4.4,1.5,5.9,5.7,15.390000000000002,1,0,7,0.02,1,0,Flash
2011,30,49,33.2,8.5,17.1,0.49700000000000005,0.3,1.1,0.268,8.2,15.9,0.513,0.506,4.8,6.1,0.7909999999999999,1.5,3.3,4.8,4.6,1.7,1.3,2.6,2.2,22.1,26.3,0.5589999999999999,8.7,0.273,2.7,0.031,0.11800000000000001,0.313,7.7,4.5,1.8,6.3,3.4,9.18,1,0,10,0.005,1,1,Flash
2012,31,69,34.7,8.2,15.8,0.521,0.2,1.0,0.258,8.0,14.9,0.537,0.528,4.5,6.2,0.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,2.0,21.2,24.0,0.5710000000000001,8.9,0.266,2.8,0.019,0.132,0.295,9.6,2.8,1.1,3.9,3.5,9.45,1,0,10,0.004,1,1,Flash
2013,32,54,32.9,7.7,14.1,0.545,0.2,0.6,0.281,7.5,13.5,0.557,0.551,3.5,4.8,0.733,1.1,3.4,4.5,4.7,1.5,0.5,3.0,2.0,19.0,22.0,0.588,8.5,0.255,2.3,0.013999999999999999,0.155,0.27899999999999997,5.5,1.9,0.3,2.3,1.9,5.13,1,0,0,0.0,1,0,Flash
2014,33,62,31.8,8.2,17.5,0.47,0.5,1.6,0.284,7.7,15.8,0.489,0.483,4.6,6.0,0.768,0.9,2.6,3.5,4.8,1.2,0.3,3.4,1.7,21.5,21.4,0.534,6.7,0.321,2.0,0.009000000000000001,0.14400000000000002,0.34700000000000003,3.5,2.4,-1.2,1.2,1.6,4.32,1,0,0,0.0,0,0,Flash
2015,34,74,30.5,7.3,16.0,0.456,0.1,0.6,0.159,7.2,15.4,0.46799999999999997,0.45899999999999996,4.4,5.5,0.7929999999999999,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6,19.0,20.3,0.517,7.6,0.27399999999999997,1.8,0.013999999999999999,0.13,0.316,4.9,0.9,-0.1,0.8,1.6,4.32,1,0,0,0.0,1,0,Flash
2016,35,60,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,18.5,0.508,8.1,0.223,2.4,0.018000000000000002,0.113,0.29600000000000004,3.4,0.4,0.6,1.0,1.3,3.51,0,0,0,0.0,1,0,Flash
2007,19,80,34.6,7.3,17.1,0.43,0.7,2.6,0.28800000000000003,6.6,14.5,0.455,0.451,4.9,5.6,0.873,0.9,3.5,4.4,2.4,1.0,0.9,2.9,1.5,20.3,15.8,0.519,6.9,0.12,1.4,0.019,0.129,0.281,2.3,-0.6,-0.7,-1.4,0.4,1.08,0,0,0,0.0,0,0,Slim Reaper
2008,20,74,39.0,8.9,18.8,0.476,1.3,3.1,0.422,7.6,15.7,0.486,0.51,6.1,7.1,0.863,1.0,5.5,6.5,2.8,1.3,0.7,3.0,1.8,25.3,20.8,0.5770000000000001,9.6,0.135,1.7,0.013999999999999999,0.122,0.28300000000000003,7.9,2.2,-0.5,1.8,2.8,7.56,0,0,0,0.0,0,0,Slim Reaper
2009,21,82,39.5,9.7,20.3,0.476,1.6,4.3,0.365,8.1,16.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,26.2,0.607,11.0,0.135,1.8,0.019,0.11699999999999999,0.32,16.1,4.9,0.2,5.1,5.8,15.66,1,0,2,0.495,1,0,Slim Reaper
2010,22,78,38.9,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1.0,2.8,2.0,27.7,23.6,0.589,10.3,0.132,1.5,0.018000000000000002,0.106,0.306,12.0,3.7,-0.8,2.9,3.7,9.990000000000002,1,0,5,0.157,1,0,Slim Reaper
2011,23,66,38.6,9.7,19.7,0.496,2.0,5.2,0.387,7.7,14.4,0.535,0.547,6.5,7.6,0.86,0.6,7.4,8.0,3.5,1.3,1.2,3.8,2.0,28.0,26.2,0.61,11.8,0.175,1.8,0.022000000000000002,0.14,0.313,12.2,4.7,0.5,5.2,4.6,12.42,1,0,2,0.735,1,0,Slim Reaper
2012,24,81,38.5,9.0,17.7,0.51,1.7,4.1,0.416,7.3,13.6,0.539,0.5589999999999999,8.4,9.3,0.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1,28.3,0.647,11.8,0.217,1.9,0.026000000000000002,0.13699999999999998,0.298,18.9,6.2,1.4,7.7,7.6,20.52,1,0,2,0.632,1,0,Slim Reaper
2013,25,81,38.5,10.5,20.8,0.503,2.4,6.1,0.391,8.1,14.8,0.5489999999999999,0.56,8.7,9.9,0.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,29.8,0.635,10.8,0.267,1.7,0.015,0.122,0.33,19.2,8.4,0.4,8.8,8.5,22.95000000000001,1,1,1,0.986,1,0,Slim Reaper
2015,27,72,35.8,9.7,19.2,0.505,2.6,6.7,0.387,7.1,12.5,0.569,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2,28.2,0.634,12.4,0.242,1.3,0.025,0.135,0.306,14.5,7.0,0.9,7.9,6.4,17.28,1,0,5,0.112,1,0,Slim Reaper
2016,28,62,33.4,8.9,16.5,0.537,1.9,5.0,0.375,7.0,11.5,0.608,0.594,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,27.6,0.6509999999999999,13.6,0.231,1.5,0.038,0.10400000000000001,0.278,12.0,5.4,2.6,8.0,5.2,14.04,1,0,9,0.002,1,1,Slim Reaper
2017,29,68,34.2,9.3,18.0,0.516,2.5,6.1,0.419,6.7,11.9,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3.0,2.0,26.4,26.0,0.64,11.2,0.255,1.0,0.04,0.129,0.304,10.4,5.0,0.7,5.6,4.5,12.15,1,0,7,0.065,1,1,Slim Reaper
2009,21,80,36.2,6.6,14.3,0.462,2.1,4.8,0.43700000000000006,4.5,9.5,0.474,0.535,2.2,2.5,0.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5,16.3,0.568,6.8,0.24600000000000002,2.5,0.005,0.165,0.218,4.7,1.8,-0.7,1.0,2.2,5.940000000000001,0,0,0,0.0,0,0,Chef
2010,22,74,33.6,6.8,14.2,0.48,2.0,4.6,0.442,4.8,9.6,0.498,0.551,2.9,3.1,0.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,18.6,19.4,0.595,6.5,0.281,2.2,0.006,0.16399999999999998,0.244,6.6,3.5,-1.6,1.9,2.4,6.48,0,0,0,0.0,0,0,Chef
2012,24,78,38.2,8.0,17.8,0.451,3.5,7.7,0.45299999999999996,4.5,10.1,0.449,0.5489999999999999,3.4,3.7,0.9,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5,22.9,21.3,0.589,5.8,0.311,2.1,0.003,0.13699999999999998,0.264,11.2,6.3,-0.9,5.4,5.6,15.12,0,0,11,0.002,1,0,Chef
2013,25,78,36.5,8.4,17.7,0.47100000000000003,3.3,7.9,0.424,5.0,9.8,0.509,0.5660000000000001,3.9,4.5,0.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0,24.1,0.61,6.4,0.39899999999999997,2.2,0.004,0.161,0.28300000000000003,13.4,7.4,0.0,7.4,6.7,18.090000000000003,1,0,6,0.053,1,0,Chef
2014,26,80,32.7,8.2,16.8,0.48700000000000004,3.6,8.1,0.44299999999999995,4.6,8.7,0.528,0.594,3.9,4.2,0.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,28.0,0.638,7.0,0.386,3.0,0.005,0.14300000000000002,0.289,15.7,9.6,0.3,9.9,7.9,21.33,1,1,1,0.922,1,1,Chef
2015,27,79,34.2,10.2,20.2,0.504,5.1,11.2,0.45399999999999996,5.1,9.0,0.5660000000000001,0.63,4.6,5.1,0.9079999999999999,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,31.5,0.669,8.6,0.337,3.0,0.004,0.129,0.326,17.9,12.4,0.1,12.5,9.8,26.460000000000004,1,1,1,1.0,1,0,Chef
2016,28,79,33.4,8.5,18.3,0.46799999999999997,4.1,10.0,0.41100000000000003,4.4,8.3,0.537,0.58,4.1,4.6,0.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,24.6,0.624,7.3,0.312,2.6,0.005,0.13,0.301,12.6,7.8,-0.4,7.3,6.2,16.740000000000002,1,0,6,0.051,1,1,Chef
2017,29,51,32.0,8.4,16.9,0.495,4.2,9.8,0.423,4.2,7.1,0.595,0.618,5.5,5.9,0.9209999999999999,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,26.4,28.2,0.675,9.0,0.303,2.4,0.004,0.133,0.31,9.1,9.9,-1.3,8.6,4.4,11.880000000000004,1,0,10,0.005,1,1,Chef
